playerID,birth_year,name_first,name_last,weight,height,bats,throws,debut,final_game,retro_id,bbref_id
timpncl01,1983.0,Clay,Timpner,195.0,74.0,L,L,2008-04-08,2008-04-11,timpc001,timpncl01
tinglro01,1959.0,Ron,Tingley,160.0,74.0,R,R,1982-09-25,1995-09-27,tingr001,tinglro01
tinslle01,1969.0,Lee,Tinsley,190.0,71.0,B,R,1993-04-06,1997-09-28,tinsl001,tinslle01
tobinma01,1987.0,Mason,Tobin,220.0,74.0,R,R,2011-04-02,2011-04-19,tobim001,tobinma01
tocajo01,1975.0,Jorge,Toca,220.0,75.0,R,R,1999-09-12,2001-10-07,tocaj001,tocajo01
toddje01,1986.0,Jess,Todd,210.0,71.0,R,R,2009-06-05,2010-07-29,toddj001,toddje01
tolarke01,1971.0,Kevin,Tolar,225.0,75.0,R,L,2000-09-11,2003-05-04,tolak001,tolarke01
tolbema01,1982.0,Matt,Tolbert,185.0,72.0,B,R,2008-04-01,2011-09-27,tolbm001,tolbema01
tolenjo01,1961.0,Jose,Tolentino,195.0,73.0,L,L,1991-07-28,1991-10-06,tolej001,tolenjo01
tolivfr01,1961.0,Freddie,Toliver,165.0,73.0,R,R,1984-09-15,1993-07-04,tolif001,tolivfr01
tollbbr01,1972.0,Brian,Tollberg,195.0,75.0,R,R,2000-06-20,2003-06-10,tollb001,tollbbr01
tollesh01,1988.0,Shawn,Tolleson,220.0,74.0,R,R,2012-06-07,2015-10-03,tolls002,tollesh01
